DATE,T10YIE
2019-01-01,1.8606557377049180
2019-04-01,1.8230158730158730
2019-07-01,1.6437500000000000
2019-10-01,1.6385483870967742
2020-01-01,1.4282258064516129
2020-04-01,1.1665079365079365
2020-07-01,1.5892187500000000
2020-10-01,1.7816129032258065
2021-01-01,2.1852459016393443
2021-04-01,2.3842187500000000
2021-07-01,2.3403125000000000
2021-10-01,2.5338709677419355
2022-01-01,2.5993548387096774
2022-04-01,2.7275806451612903
2022-07-01,2.4212500000000000
2022-10-01,2.3400000000000000
2023-01-01,2.2908064516129032
2023-04-01,2.2260317460317460
2023-07-01,2.3250793650793651
2023-10-01,2.2933870967741935
